plain_roman,count,diacritics,urdu,devanagari,meter
miinaa))ii,1,mīnāʾī,مینائی,मीनाई,cvcvcv
shiguftan,1,shiguftan,شگفتن,शिगुफ़्तन,cscsccsc
na;zr-e,4,nażr-e,نذرِ,नज़्र-ए,csccz
za;hmat,1,zaḥmat,زحمت,ज़हमत,csccsc
kisht-e,1,kisht-e,کشتِ,किश्त-ए,csccz
naalah-farsaa))ii,1,nālah-farsāʾī,نالہ فرسائی,नाला-फ़रसाई,cvcsc<h+wb>bcsccvcv
majbuur,1,majbūr,مجبور,मजबूर,csccvc
zanjiirii-e,1,zanjīrī-e,زنجیریِ,ज़ंजीरी-ए,csccvcv<ii+z>z
a;ndherii,1,añdherī,اندھیری,अंधेरी,sncvcv
;xvaahish,4,ḳhvāhish,خواہش,ख़्वाहिश,c<;xv>vcsc
vafaadaar,1,vafādār,وفادار,वफ़ादार,cscvcvc
buraa,16,burā,برا,बुरा,cscv
;xeme,1,ḳheme,خیمے,ख़ेमे,cvcv
diidah-e,18,dīdah-e,دیدۂ,दीदा-ए,cvcscz
kare;n,6,kareñ,کریں,करें,cscvn
;hikaayat-e,1,ḥikāyat-e,حکایتِ,हिकायत-ए,cscvcscz
;xalish-e,2,ḳhalish-e,خلشِ,ख़लिश-ए,cscscz
((ar.se,1,ʿarṣe,عرصے,अरसे,csccv
;xaanah-zaad-e,1,ḳhānah-zād-e,خانہ زادِ,ख़ाना-ज़ाद-ए,cvcsc<h+wb>bcvcz
mu:trib,1,mut̤rib,مطرب,मुत्रिब,csccsc
chalii,1,chalī,چلی,चली,cscv
bayaan-e,1,bayān-e,بیانِ,बयान-ए,cscvcz
banaayaa,1,banāyā,بنایا,बनाया,cscvcv
va;hshat-o-sheftah,1,vaḥshat-o-sheftah,وحشت و شیفتہ,वहशत‐ओ‐शेफ़्ता,csccscocvccsc<h+wb>
paarsaa))ii,2,pārsāʾī,پارسائی,पारसाई,cvccvcv
bar,4,bar,بر,बर,csc
bas,8,bas,بس,बस,csc
tah-e,3,tah-e,تۂ,ता-ए,cscz
bad,2,bad,بد,बद,csc
duusraa,1,dūsrā,دوسرا,दूसरा,cvccv
baa,2,bā,با,बा,cv
ban,10,ban,بن,बन,csc
bashar,2,bashar,بشر,बशर,cscsc
((u.zv,2,ʿuẓv,عضو,उज़्व,cscc
aadam,2,ādam,آدم,आदम,vcsc
bah,134,bah,بہ,ब,csc<h+wb>
((araq-e,1,ʿaraq-e,عرقِ,अरक़-ए,cscscz
besh,3,besh,بیش,बेश,cvc
ba;xyah,1,baḳhyah,بخیہ,बख़्या,csccsc<h+wb>
ka;ttii,1,kaṭtī,کٹتی,कटती,csccv
garm-e,9,garm-e,گرمِ,गर्म-ए,csccz
